Metric,Sample_Estimate,Benchmark,P_Value,CI_Lower,CI_Upper
Proportion_Sad,0.2977832894124942,0.3,0.5826969385862812,0.2898926300735766,0.30567394875141185
Mean_Height,1.694055185242598,1.7,3.0213873524456275e-11,1.6923032514861867,1.6958071189990094
